               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034276,            0.004059,                   0,             0.90629,              0.8757,             0.88069,             0.44973,            0.028749,           0.0025135,                   0,            0.008145,            0.008145,            0.008145
                  38,            0.035144,           0.0040823,                   0,              0.9089,             0.86416,             0.91109,             0.45521,            0.028078,           0.0025477,                   0,           0.0080488,           0.0080488,           0.0080488
                  39,            0.034257,           0.0040967,                   0,             0.88689,             0.87983,             0.91046,             0.46792,            0.029007,           0.0024472,                   0,           0.0079509,           0.0079509,           0.0079509
                  40,            0.034538,           0.0040008,                   0,             0.94632,             0.86754,             0.91389,             0.46718,            0.028693,           0.0024243,                   0,           0.0078512,           0.0078512,           0.0078512
                  41,            0.033727,            0.004055,                   0,             0.90219,              0.8897,              0.9164,             0.48006,            0.027852,           0.0024649,                   0,             0.00775,             0.00775,             0.00775
                  42,            0.034665,           0.0040175,                   0,              0.9155,             0.90354,             0.93992,             0.47464,            0.028108,           0.0024179,                   0,           0.0076472,           0.0076472,           0.0076472
                  43,            0.033983,           0.0041211,                   0,             0.92049,             0.86605,             0.90961,              0.4674,             0.02762,            0.002468,                   0,            0.007543,            0.007543,            0.007543
                  44,            0.033358,           0.0039469,                   0,             0.88544,             0.89763,             0.91647,             0.48187,            0.027705,           0.0024477,                   0,           0.0074373,           0.0074373,           0.0074373
                  45,            0.033841,           0.0039874,                   0,             0.90637,             0.89561,             0.91968,             0.46549,            0.027852,           0.0023918,                   0,           0.0073303,           0.0073303,           0.0073303
                  46,            0.033118,           0.0038727,                   0,             0.89446,             0.88583,             0.92397,             0.48966,            0.027903,           0.0024359,                   0,           0.0072221,           0.0072221,           0.0072221
                  47,            0.032651,           0.0038452,                   0,             0.91563,             0.89961,             0.92174,             0.48475,            0.028256,           0.0024349,                   0,           0.0071127,           0.0071127,           0.0071127
                  48,            0.032092,           0.0039403,                   0,             0.90992,             0.89567,             0.90795,             0.48763,            0.027561,           0.0024334,                   0,           0.0070021,           0.0070021,           0.0070021
                  49,            0.032692,           0.0038315,                   0,             0.92784,             0.91142,             0.93271,             0.48541,            0.027389,           0.0023577,                   0,           0.0068906,           0.0068906,           0.0068906
                  50,            0.032334,           0.0038068,                   0,             0.91479,             0.88765,             0.91347,             0.48298,            0.027541,            0.002412,                   0,           0.0067781,           0.0067781,           0.0067781
                  51,            0.032462,           0.0038086,                   0,             0.92389,             0.90945,             0.93277,              0.4854,            0.026786,           0.0023414,                   0,           0.0066647,           0.0066647,           0.0066647
                  52,            0.033121,            0.003732,                   0,             0.92667,             0.89554,             0.93892,             0.48605,            0.027322,            0.002363,                   0,           0.0065505,           0.0065505,           0.0065505
                  53,            0.032407,           0.0037817,                   0,             0.93031,             0.89344,             0.91911,             0.48114,             0.02686,           0.0023488,                   0,           0.0064356,           0.0064356,           0.0064356
                  54,             0.03216,           0.0038485,                   0,             0.90746,             0.90729,             0.92751,             0.48731,             0.02788,            0.002384,                   0,           0.0063201,           0.0063201,           0.0063201
                  55,            0.031937,           0.0037624,                   0,             0.91679,             0.91142,             0.93098,             0.48953,            0.026792,           0.0023768,                   0,            0.006204,            0.006204,            0.006204
                  56,             0.03188,           0.0035753,                   0,             0.90321,             0.90354,             0.91381,             0.48018,            0.027696,           0.0024292,                   0,           0.0060874,           0.0060874,           0.0060874
                  57,            0.031525,           0.0038004,                   0,             0.90329,             0.91929,             0.93232,              0.5063,             0.02627,           0.0023071,                   0,           0.0059704,           0.0059704,           0.0059704
                  58,            0.031377,           0.0036829,                   0,             0.91982,             0.90334,             0.92525,             0.48929,             0.02644,           0.0023629,                   0,           0.0058531,           0.0058531,           0.0058531
